,一共游戏场数,12590
1,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	能量增幅器	锐利之爪,8,50.0%,9
,,弱点保险	猛攻哑铃	锐利之爪,3,42.86%,7
,,弱点保险	能量增幅器	锐利之爪,9,52.94%,6
,,力量头带	猛攻哑铃	锐利之爪,6,85.71%,6
,,猛攻哑铃	能量增幅器	锐利之爪,5,71.43%,4
,,力量头带	弱点保险	锐利之爪,2,40.0%,3
,,弱点保险	气势头带	能量增幅器,11,61.11%,1
,,弱点保险	气势头带	锐利之爪,3,42.86%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,共鸣护盾	弱点保险	猛攻哑铃,0,0.0%,1
45,勾魂眼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,28,0.67%,54,64.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,KAiシ,16,84.21%
,,r1ヶU・一般,8,88.89%
,,TTVJеyJey,6,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,拍落		奇异之光	速度强化,44,63.77%,23
,,影子偷袭	奇异之光	速度强化,6,75.0%,5
,,拍落		出奇一击	得分加速装置,3,100.0%,1
,,拍落		出奇一击	速度强化,1,33.33%,2
,,拍落		奇异之光	得分加速装置,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,吃剩的东西	学习装置	轻石,41,63.08%,20
,,学习装置	气势头带	轻石,6,66.67%,3
,,猛攻哑铃	轻石	锐利之爪,3,75.0%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,充能坠饰	学习装置	轻石,1,100.0%,1
,,充能坠饰	猛攻哑铃	轻石,1,50.0%,1
,,学习装置	得分护盾	轻石,1,50.0%,1
46,妙蛙花,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,40,0.66%,69,83.13%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,master6467,13,92.86%
,,ENOCSeVra¿,6,100.0%
,,Sani¿神,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,污泥炸弹	日光束	逃脱按键,39,81.25%,28
,,终极吸取	花瓣舞	万灵药,17,89.47%,8
,,终极吸取	日光束	逃脱按键,6,85.71%,7
,,污泥炸弹	花瓣舞	逃脱按键,3,60.0%,1
,,终极吸取	花瓣舞	逃脱按键,1,100.0%,1
,,污泥炸弹	日光束	伤药	,1,100.0%,1
,,污泥炸弹	日光束	速度强化,1,100.0%,1
,,污泥炸弹	日光束	万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,26,89.66%,17
,,气势头带	穿透汤匙	连打围巾,7,77.78%,4
,,博识眼镜	穿透汤匙	讲究眼镜,2,40.0%,4
,,博识眼镜	穿透汤匙	能量增幅器,15,93.75%,3
,,咒术熏香	穿透汤匙	能量增幅器,4,80.0%,3
,,咒术熏香	穿透汤匙	讲究眼镜,2,50.0%,2
,,穿透汤匙	讲究眼镜	贝壳之铃,6,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,3,100.0%,1
,,咒术手镯	气势头带	穿透汤匙,2,100.0%,1
,,力量头带	穿透汤匙	连打围巾,1,100.0%,1
,,气势头带	穿透汤匙	讲究眼镜,1,100.0%,1
,,博识眼镜	能量增幅器	讲究眼镜,0,0.0%,1
,,力量头带	气势头带	穿透汤匙,0,0.0%,1
47,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,26,0.57%,52,72.22%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,乡Rakurai乡,6,100.0%
,,Razzak.,6,75.0%
,,윤아®,5,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,伏特替换	放电		万灵药,25,67.57%,15
,,电光		放电		攻击强化,9,100.0%,3
,,电光		疯狂伏特	攻击强化,7,70.0%,2
,,电光		放电		万灵药,5,71.43%,3
,,伏特替换	放电		攻击强化,3,60.0%,5
,,电光		疯狂伏特	伤药	,2,100.0%,1
,,电光		疯狂伏特	万灵药,1,100.0%,1
,,伏特替换	放电		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	气势头带,7,77.78%,6
,,弱点保险	气势头带	锐利之爪,4,66.67%,5
,,力量头带	猛攻哑铃	锐利之爪,11,84.62%,2
,,弱点保险	气势头带	能量增幅器,8,66.67%,2
,,弱点保险	气势头带	连打围巾,1,33.33%,2
,,力量头带	轻石	锐利之爪,6,75.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,4,80.0%,1
,,力量头带	咒术手镯	锐利之爪,4,80.0%,1
,,弱点保险	能量增幅器	锐利之爪,3,50.0%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	气势头带	锐利之爪,1,100.0%,1
,,力量头带	弱点保险	锐利之爪,1,100.0%,1
,,力量头带	能量增幅器	锐利之爪,0,0.0%,1
48,列阵兵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,11,0.53%,48,71.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,99ムSensei,36,69.23%
,,Xoat.,5,83.33%
,,OS・Sonic4D,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,超级角击	背水一战	速度强化,43,71.67%,5
,,铁头		围攻		速度强化,2,100.0%,2
,,铁头		背水一战	速度强化,1,100.0%,1
,,铁头		围攻		攻击强化,1,100.0%,1
,,超级角击	背水一战	逃脱按键,1,50.0%,2
,,超级角击	围攻		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	猛攻哑铃,1,33.33%,3
,,弱点保险	气势头带	猛攻哑铃,37,69.81%,2
,,弱点保险	猛攻哑铃	锐利之爪,2,100.0%,2
,,咒术手镯	弱点保险	猛攻哑铃,5,83.33%,1
,,亿奥斯饼干	弱点保险	气势头带,1,100.0%,1
,,亿奥斯饼干	共鸣护盾	气势头带,1,100.0%,1
,,力量头带	气势头带	猛攻哑铃,1,100.0%,1
48,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,25,0.53%,48,71.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MyG_王不留情,5,100.0%
,,ØWxBOSS,5,100.0%
,,@_Iñvîsíbìé,5,55.56%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,18,75.0%,13
,,暗影爪	广域防守	伤药	,11,50.0%,5
,,暗影爪	广域防守	万灵药,7,100.0%,3
,,暗影爪	广域防守	逃脱按键,4,100.0%,2
,,圣剑		广域防守	逃脱按键,2,100.0%,1
,,暗影爪	铁头		逃脱按键,2,100.0%,1
,,圣剑		广域防守	速度强化,2,66.67%,2
,,圣剑		铁头		速度强化,1,100.0%,1
,,暗影爪	铁头		伤药	,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	锐利之爪,20,86.96%,7
,,弱点保险	猛攻哑铃	锐利之爪,7,63.64%,4
,,亿奥斯饼干	弱点保险	猛攻哑铃,7,63.64%,2
,,弱点保险	气势头带	锐利之爪,2,100.0%,2
,,弱点保险	气势头带	猛攻哑铃,2,100.0%,2
,,力量头带	弱点保险	气势头带,0,0.0%,2
,,救援屏障	焦点镜	锐利之爪,3,100.0%,1
,,弱点保险	救援屏障	气势头带,3,33.33%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
,,充能坠饰	力量头带	弱点保险,1,100.0%,1
,,力量头带	气势头带	锐利之爪,1,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,1,100.0%,1
50,巨金怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,29,0.52%,48,72.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ミラクルレタ,9,60.0%
,,俺の名はn,4,100.0%
,,_0yam,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,陀螺球	电磁飘浮	速度强化,25,69.44%,19
,,彗星拳	意念头锤	伤药	,9,64.29%,1
,,彗星拳	意念头锤	速度强化,5,100.0%,3
,,陀螺球	电磁飘浮	万灵药,2,100.0%,2
,,陀螺球	意念头锤	速度强化,2,100.0%,2
,,陀螺球	电磁飘浮	逃脱按键,2,100.0%,2
,,彗星拳	电磁飘浮	速度强化,1,100.0%,1
,,陀螺球	意念头锤	逃脱按键,1,100.0%,1
,,陀螺球	电磁飘浮	攻击强化,1,100.0%,1
,,陀螺球	电磁飘浮	伤药	,0,0.0%,1
,,彗星拳	意念头锤	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,17,80.95%,10
,,弱点保险	气势头带	猛攻哑铃,16,64.0%,9
,,力量头带	弱点保险	猛攻哑铃,5,100.0%,2
,,共鸣护盾	弱点保险	锐利之爪,3,75.0%,1
,,充能坠饰	弱点保险	猛攻哑铃,2,100.0%,1
,,咒术手镯	弱点保险	锐利之爪,2,66.67%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	弱点保险	气势头带,1,100.0%,1
,,力量头带	气势头带	锐利之爪,1,50.0%,1
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,0,0.0%,1
51,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,0.47%,43,72.88%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,回国,8,72.73%
,,XesoL-,6,85.71%
,,OS・Sonic4D,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,致命针刺	狙击		逃脱按键,36,72.0%,24
,,杂技		水流裂破	逃脱按键,4,80.0%,5
,,致命针刺	狙击		速度强化,3,75.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,37,69.81%,24
,,咒术熏香	穿透汤匙	讲究眼镜,5,100.0%,2
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
52,超梦Y,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,0.46%,38,65.52%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ZETA_Rom,15,71.43%
,,XesoL-,5,83.33%
,,FL_Ma・shio,3,60.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神击破	瞬间移动	逃脱按键,18,72.0%,5
,,精神击破	瞬间移动	攻击强化,18,60.0%,20
,,精神击破	自我再生	逃脱按键,1,100.0%,1
,,预知未来	瞬间移动	攻击强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	穿透汤匙	连打围巾,13,61.9%,15
,,力量头带	学习装置	连打围巾,21,77.78%,6
,,博识眼镜	穿透汤匙	讲究眼镜,3,50.0%,2
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
,,穿透汤匙	讲究眼镜	连打围巾,0,0.0%,1
,,学习装置	穿透汤匙	连打围巾,0,0.0%,1
,,咒术熏香	学习装置	穿透汤匙,0,0.0%,1
53,沙奈朵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,21,0.44%,42,76.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,さなせんわか,14,77.78%
,,Mocchin,13,92.86%
,,WVL彡BoTejYu,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,月亮之力	预知未来	逃脱按键,16,88.89%,5
,,月亮之力	精神冲击	逃脱按键,16,66.67%,5
,,精神强念	精神冲击	逃脱按键,5,71.43%,7
,,精神强念	预知未来	逃脱按键,3,75.0%,4
,,精神强念	精神冲击	速度强化,1,100.0%,1
,,月亮之力	预知未来	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,16,64.0%,7
,,咒术熏香	穿透汤匙	能量增幅器,7,77.78%,7
,,博识眼镜	穿透汤匙	讲究眼镜,5,100.0%,4
,,咒术熏香	穿透汤匙	讲究眼镜,13,92.86%,1
,,博识眼镜	能量增幅器	讲究眼镜,1,100.0%,1
,,能量增幅器	讲究眼镜	贝壳之铃,0,0.0%,1
54,铝钢龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,8,0.43%,43,79.63%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,.Dıwata.,26,76.47%
,,"SIM""",9,81.82%
,,OS・Sonic4D,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之波动	隐形岩	逃脱按键,29,80.56%,3
,,龙之波动	龙尾		逃脱按键,9,75.0%,2
,,加农光炮	隐形岩	逃脱按键,2,66.67%,3
,,加农光炮	隐形岩	攻击强化,1,100.0%,1
,,加农光炮	隐形岩	速度强化,1,100.0%,1
,,龙之波动	隐形岩	攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,37,78.72%,4
,,力量头带	猛攻哑铃	连打围巾,3,100.0%,1
,,力量头带	连打围巾	锐利之爪,2,100.0%,1
,,力量头带	治愈王冠	连打围巾,1,100.0%,1
,,力量头带	焦点镜	锐利之爪,0,0.0%,1
55,班基拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,14,0.42%,37,69.81%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,KAiシ,14,77.78%
,,99ムSensei,6,75.0%
,,OS・Zycler,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,恶之波动	原始之力	速度强化,23,74.19%,6
,,恶之波动	原始之力	万灵药,5,100.0%,2
,,尖石攻击	流沙深渊	伤药	,4,44.44%,1
,,尖石攻击	流沙深渊	速度强化,2,66.67%,3
,,尖石攻击	流沙深渊	万灵药,1,100.0%,1
,,恶之波动	流沙深渊	逃脱按键,1,100.0%,1
,,恶之波动	原始之力	伤药	,1,50.0%,1
,,尖石攻击	流沙深渊	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,18,69.23%,7
,,力量头带	弱点保险	气势头带,14,77.78%,1
,,充能坠饰	力量头带	弱点保险,2,66.67%,1
,,焦点镜	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	锐利之爪,1,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,1,50.0%,1
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,0,0.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,0,0.0%,1
56,皮达克莱伊丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,9,0.4%,41,82.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,XD・Champion,21,84.0%
,,KAiシ,6,85.71%
,,FS・Tempo,5,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗黑洞	暗影爪	万灵药,25,80.65%,8
,,暗黑洞	暗影爪	逃脱按键,8,80.0%,3
,,暗黑洞	暗影爪	脱壳忍者玩偶,7,87.5%,3
,,恶之波动	暗影爪	逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
57,喷火龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,0.33%,27,64.29%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,爱|Zeetシ,8,72.73%
,,×Elzeëįn×,3,75.0%
,,FULLTHROTTLE,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷射火焰	大字爆炎	万灵药,7,77.78%,1
,,火焰拳	闪焰冲锋	攻击强化,4,80.0%,2
,,喷射火焰	大字爆炎	速度强化,3,60.0%,3
,,火焰拳	闪焰冲锋	伤药	,2,100.0%,1
,,喷射火焰	闪焰冲锋	速度强化,2,66.67%,3
,,火焰拳	闪焰冲锋	速度强化,2,40.0%,4
,,喷射火焰	大字爆炎	攻击强化,2,33.33%,6
,,喷射火焰	闪焰冲锋	万灵药,1,100.0%,1
,,喷射火焰	闪焰冲锋	伤药	,1,100.0%,1
,,喷射火焰	大字爆炎	伤药	,1,100.0%,1
,,火焰拳	大字爆炎	速度强化,1,100.0%,1
,,喷射火焰	闪焰冲锋	攻击强化,1,50.0%,2
,,火焰拳	闪焰冲锋	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	猛攻哑铃	能量增幅器,11,73.33%,5
,,咒术手镯	焦点镜	猛攻哑铃,4,66.67%,5
,,弱点保险	气势头带	猛攻哑铃,4,57.14%,2
,,咒术手镯	弱点保险	焦点镜,3,60.0%,2
,,力量头带	焦点镜	猛攻哑铃,1,50.0%,2
,,弱点保险	焦点镜	猛攻哑铃,0,0.0%,2
,,咒术手镯	弱点保险	猛攻哑铃,2,100.0%,1
,,治愈王冠	焦点镜	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	焦点镜	猛攻哑铃,1,100.0%,1
,,力量头带	焦点镜	能量增幅器,0,0.0%,1
58,仙子伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,19,0.32%,32,80.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,윤아®,6,100.0%
,,GG¤SHØCKwávè,3,100.0%
,,OS・Sonic4D,3,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,巨声		冥想		速度强化,15,78.95%,11
,,魔法火焰	吸取之吻	速度强化,11,78.57%,6
,,魔法火焰	吸取之吻	逃脱按键,2,100.0%,2
,,魔法火焰	吸取之吻	伤药	,2,66.67%,2
,,巨声		冥想		万灵药,1,100.0%,1
,,魔法火焰	吸取之吻	万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	咒术熏香	讲究眼镜,6,66.67%,5
,,博识眼镜	咒术熏香	进击眼镜,5,83.33%,2
,,咒术熏香	穿透汤匙	讲究眼镜,4,66.67%,2
,,气势头带	穿透汤匙	讲究眼镜,6,100.0%,1
,,共鸣护盾	穿透汤匙	进击眼镜,3,100.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,2,100.0%,1
,,亿奥斯饼干	能量增幅器	进击眼镜,1,100.0%,1
,,博识眼镜	学习装置	讲究眼镜,1,100.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,1,100.0%,1
,,力量头带	穿透汤匙	进击眼镜,1,100.0%,1
,,力量头带	穿透汤匙	讲究眼镜,1,50.0%,1
,,共鸣护盾	咒术熏香	穿透汤匙,0,0.0%,1
58,太阳伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,26,0.32%,24,60.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,PKT・Sheyk0z,5,71.43%
,,MyG_SaveCoke,4,80.0%
,,ZETA_Rom,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,辅助力量	幻象光线	逃脱按键,20,66.67%,18
,,精神冲击	幻象光线	逃脱按键,3,60.0%,5
,,精神冲击	预知未来	速度强化,1,100.0%,1
,,精神冲击	预知未来	逃脱按键,0,0.0%,1
,,辅助力量	预知未来	逃脱按键,0,0.0%,1
,,辅助力量	幻象光线	速度强化,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,9,69.23%,8
,,咒术熏香	穿透汤匙	讲究眼镜,3,37.5%,7
,,博识眼镜	咒术熏香	穿透汤匙,7,77.78%,3
,,博识眼镜	学习装置	穿透汤匙,4,80.0%,3
,,穿透汤匙	能量增幅器	讲究眼镜,1,100.0%,1
,,学习装置	穿透汤匙	讲究眼镜,0,0.0%,1
,,学习装置	讲究眼镜	贝壳之铃,0,0.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,0,0.0%,1
,,博识眼镜	穿透汤匙	贝壳之铃,0,0.0%,1
60,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,14,0.27%,25,73.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,らぐ.,9,90.0%
,,れいはいけい,6,75.0%
,,OS・Sonic4D,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神击破	瞬间移动	伤药	,9,90.0%,2
,,精神击破	自我再生	伤药	,8,57.14%,8
,,预知未来	自我再生	逃脱按键,3,100.0%,2
,,预知未来	自我再生	伤药	,3,75.0%,4
,,精神击破	自我再生	速度强化,1,100.0%,1
,,精神击破	瞬间移动	万灵药,1,100.0%,1
,,预知未来	瞬间移动	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	猛攻哑铃,7,63.64%,3
,,共鸣护盾	学习装置	气势头带,1,50.0%,2
,,学习装置	气势头带	猛攻哑铃,1,33.33%,2
,,共鸣护盾	弱点保险	猛攻哑铃,9,90.0%,1
,,共鸣护盾	力量头带	学习装置,2,100.0%,1
,,力量头带	学习装置	气势头带,1,100.0%,1
,,力量头带	焦点镜	锐利之爪,1,100.0%,1
,,弱点保险	焦点镜	猛攻哑铃,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	弱点保险	气势头带,1,50.0%,1
61,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,15,0.25%,20,64.52%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mocchin,4,50.0%
,,OS・Sonic4D,2,100.0%
,,@_Iñvîsíbìé,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	蓄能焰袭	逃脱按键,9,75.0%,7
,,大字爆炎	火焰旋涡	逃脱按键,5,55.56%,4
,,魔法火焰	火焰旋涡	逃脱按键,3,42.86%,4
,,魔法火焰	火焰旋涡	速度强化,1,100.0%,1
,,大字爆炎	火焰旋涡	伤药	,1,100.0%,1
,,大字爆炎	火焰旋涡	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	穿透汤匙	能量增幅器,6,60.0%,7
,,咒术熏香	穿透汤匙	讲究眼镜,6,60.0%,2
,,穿透汤匙	能量增幅器	讲究眼镜,3,100.0%,2
,,穿透汤匙	能量增幅器	贝壳之铃,1,50.0%,2
,,能量增幅器	讲究眼镜	贝壳之铃,2,100.0%,1
,,博识眼镜	穿透汤匙	能量增幅器,2,50.0%,1
62,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,23,0.21%,14,51.85%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OS・Zycler,3,100.0%
,,Ødeleggelse,2,66.67%
,,ZETA_Tomato,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		屏障		速度强化,8,57.14%,12
,,精神强念	力量互换	速度强化,4,100.0%,3
,,念力		力量互换	逃脱按键,1,100.0%,1
,,念力		屏障		伤药	,1,50.0%,2
,,念力		屏障		逃脱按键,0,0.0%,5
,,精神强念	力量互换	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	穿透汤匙,2,66.67%,3
,,学习装置	讲究眼镜	进击眼镜,1,33.33%,3
,,学习装置	救援屏障	气势头带,1,50.0%,2
,,学习装置	穿透汤匙	进击眼镜,1,50.0%,2
,,气势头带	穿透汤匙	进击眼镜,0,0.0%,2
,,学习装置	救援屏障	进击眼镜,3,100.0%,1
,,学习装置	穿透汤匙	能量增幅器,2,66.67%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,共鸣护盾	学习装置	救援屏障,1,100.0%,1
,,学习装置	穿透汤匙	讲究眼镜,1,100.0%,1
,,学习装置	气势头带	进击眼镜,1,100.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,0,0.0%,1
,,共鸣护盾	气势头带	进击眼镜,0,0.0%,1
,,博识眼镜	学习装置	穿透汤匙,0,0.0%,1
,,学习装置	气势头带	讲究眼镜,0,0.0%,1
,,气势头带	讲究眼镜	进击眼镜,0,0.0%,1
63,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,10,0.19%,18,75.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OS・Sonic4D,6,85.71%
,,Todorôki,6,75.0%
,,Mocchin,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰锥		冰砾		逃脱按键,10,76.92%,7
,,冰冻之风	冷冻干燥	逃脱按键,6,66.67%,4
,,冰锥		冰砾		攻击强化,1,100.0%,1
,,冰锥		冰砾		速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	贝壳之铃,7,77.78%,2
,,咒术熏香	穿透汤匙	讲究眼镜,2,100.0%,2
,,咒术熏香	焦点镜	穿透汤匙,6,85.71%,1
,,力量头带	博识眼镜	连打围巾,2,100.0%,1
,,咒术熏香	穿透汤匙	连打围巾,1,100.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,0,0.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,0,0.0%,1
,,博识眼镜	穿透汤匙	能量增幅器,0,0.0%,1
64,多龙巴鲁托,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,9,0.17%,15,68.18%
