,一共游戏场数,10436
1,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,力量头带	弱点保险	锐利之爪,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,亿奥斯饼干	力量头带	连打围巾,1,50.0%,1
46,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,40,0.62%,48,73.85%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,れおなくん,6,66.67%
,,!CHAOS!,3,75.0%
,,PPRN,3,60.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗黑洞	诡计		万灵药,29,72.5%,26
,,暗黑洞	诡计		逃脱按键,10,71.43%,9
,,暗黑洞	诡计		伤药	,7,87.5%,4
,,暗黑洞	诡计		速度强化,2,100.0%,2
,,暗黑洞	恶之波动	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,8,72.73%,10
,,博识眼镜	气势头带	穿透汤匙,9,75.0%,7
,,穿透汤匙	讲究眼镜	进击眼镜,4,80.0%,4
,,博识眼镜	穿透汤匙	进击眼镜,3,60.0%,4
,,穿透汤匙	讲究眼镜	贝壳之铃,4,66.67%,2
,,博识眼镜	穿透汤匙	贝壳之铃,3,100.0%,2
,,气势头带	穿透汤匙	进击眼镜,2,100.0%,2
,,咒术熏香	穿透汤匙	讲究眼镜,1,33.33%,2
,,咒术熏香	穿透汤匙	进击眼镜,6,66.67%,1
,,咒术熏香	学习装置	气势头带,2,100.0%,1
,,博识眼镜	学习装置	穿透汤匙,2,100.0%,1
,,讲究眼镜	贝壳之铃	进击眼镜,1,100.0%,1
,,咒术熏香	学习装置	穿透汤匙,1,100.0%,1
,,咒术熏香	气势头带	穿透汤匙,1,100.0%,1
,,咒术熏香	讲究眼镜	进击眼镜,1,50.0%,1
47,巨金怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,0.61%,45,70.31%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,耄碌,5,83.33%
,,N'shiro_,5,50.0%
,,ƛяєѕ,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,陀螺球	电磁飘浮	速度强化,36,69.23%,21
,,陀螺球	电磁飘浮	万灵药,5,71.43%,5
,,彗星拳	电磁飘浮	万灵药,1,100.0%,1
,,彗星拳	意念头锤	逃脱按键,1,100.0%,1
,,陀螺球	电磁飘浮	逃脱按键,1,100.0%,1
,,陀螺球	意念头锤	速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,19,59.38%,12
,,弱点保险	气势头带	猛攻哑铃,23,88.46%,11
,,学习装置	弱点保险	猛攻哑铃,2,66.67%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,1
,,力量头带	气势头带	猛攻哑铃,0,0.0%,1
48,岩殿居蟹,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,30,0.57%,44,73.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MDoriyah,7,87.5%
,,SAHILGODyt,4,100.0%
,,グデム,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,岩石封锁	十字剪	逃脱按键,20,74.07%,13
,,破壳		隐形岩	向尾喵的尾巴,8,66.67%,9
,,破壳		十字剪	得分加速装置,7,87.5%,1
,,破壳		十字剪	伤药	,5,62.5%,3
,,破壳		隐形岩	得分加速装置,1,100.0%,1
,,破壳		十字剪	逃脱按键,1,100.0%,1
,,破壳		十字剪	速度强化,1,100.0%,1
,,破壳		隐形岩	攻击强化,1,100.0%,1
,,破壳		隐形岩	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	突击背心,4,80.0%,3
,,学习装置	气势头带	轻石,5,62.5%,2
,,力量头带	能量增幅器	轻石,4,100.0%,2
,,学习装置	救援屏障	气势头带,4,80.0%,2
,,咒术手镯	学习装置	气势头带,3,100.0%,2
,,共鸣护盾	学习装置	气势头带,3,75.0%,2
,,猛攻哑铃	能量增幅器	轻石,1,50.0%,2
,,学习装置	气势头带	猛攻哑铃,0,0.0%,2
,,得分护盾	焦点镜	猛攻哑铃,7,87.5%,1
,,力量头带	得分护盾	气势头带,4,80.0%,1
,,得分护盾	气势头带	猛攻哑铃,2,100.0%,1
,,咒术手镯	学习装置	轻石,1,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,1,100.0%,1
,,亿奥斯饼干	得分护盾	轻石,1,100.0%,1
,,气势头带	焦点镜	锐利之爪,1,100.0%,1
,,咒术手镯	猛攻哑铃	轻石,1,100.0%,1
,,学习装置	气势头带	能量增幅器,1,50.0%,1
,,学习装置	弱点保险	气势头带,1,50.0%,1
,,气势头带	猛攻哑铃	能量增幅器,0,0.0%,1
,,弱点保险	焦点镜	猛攻哑铃,0,0.0%,1
,,力量头带	学习装置	能量增幅器,0,0.0%,1
49,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,0.54%,37,66.07%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,iRinItoshi,3,100.0%
,,LBツZeNiN,3,75.0%
,,ʚ美少女戦士ɞ,3,60.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		意念移物	逃脱按键,14,70.0%,12
,,热水		意念移物	逃脱按键,5,71.43%,5
,,冲浪		意念移物	伤药	,5,71.43%,5
,,冲浪		瞬间失忆	逃脱按键,5,55.56%,8
,,热水		瞬间失忆	伤药	,3,75.0%,3
,,冲浪		意念移物	速度强化,2,50.0%,3
,,热水		意念移物	伤药	,1,100.0%,1
,,冲浪		瞬间失忆	速度强化,1,100.0%,1
,,冲浪		瞬间失忆	伤药	,1,33.33%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,10,58.82%,14
,,咒术熏香	学习装置	气势头带,8,66.67%,5
,,学习装置	救援屏障	气势头带,2,66.67%,2
,,学习装置	气势头带	突击背心,2,66.67%,2
,,亿奥斯饼干	学习装置	气势头带,2,50.0%,2
,,学习装置	气势头带	讲究眼镜,1,50.0%,2
,,共鸣护盾	气势头带	能量增幅器,3,75.0%,1
,,学习装置	气势头带	轻石,2,100.0%,1
,,共鸣护盾	穿透汤匙	进击眼镜,2,100.0%,1
,,学习装置	气势头带	穿透汤匙,1,100.0%,1
,,咒术熏香	学习装置	穿透汤匙,1,100.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,1,100.0%,1
,,共鸣护盾	学习装置	贝壳之铃,1,100.0%,1
,,亿奥斯饼干	共鸣护盾	学习装置,1,33.33%,1
49,狙射树枭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,0.54%,31,55.36%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Dark_èntity,3,75.0%
,,チンドドリル,3,50.0%
,,NH-Desayu,3,50.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,缝影		影子偷袭	速度强化,14,63.64%,12
,,缝影		影子偷袭	逃脱按键,7,46.67%,12
,,飞叶快刀	影子偷袭	逃脱按键,4,44.44%,3
,,飞叶快刀	飞叶风暴	逃脱按键,3,75.0%,2
,,缝影		飞叶风暴	逃脱按键,2,100.0%,2
,,飞叶快刀	飞叶风暴	攻击强化,1,33.33%,3
,,飞叶快刀	飞叶风暴	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	轻石,7,63.64%,7
,,充能坠饰	力量头带	猛攻哑铃,8,88.89%,6
,,力量头带	焦点镜	连打围巾,4,30.77%,6
,,力量头带	焦点镜	猛攻哑铃,5,55.56%,3
,,力量头带	猛攻哑铃	轻石,2,50.0%,2
,,咒术手镯	猛攻哑铃	轻石,1,50.0%,2
,,力量头带	猛攻哑铃	锐利之爪,0,0.0%,2
,,充能坠饰	焦点镜	猛攻哑铃,1,100.0%,1
,,充能坠饰	猛攻哑铃	能量增幅器,1,100.0%,1
,,充能坠饰	力量头带	焦点镜,1,100.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,50.0%,1
,,治愈王冠	焦点镜	轻石,0,0.0%,1
51,巨锻匠,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,24,0.5%,30,57.69%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mаog,10,71.43%
,,Re・therock,3,100.0%
,,Ulsan_장인,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,巨力锤	小偷		逃脱按键,28,57.14%,21
,,巨力锤	小偷		速度强化,2,66.67%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,7,50.0%,6
,,亿奥斯饼干	气势头带	猛攻哑铃,3,75.0%,4
,,亿奥斯饼干	弱点保险	猛攻哑铃,3,60.0%,2
,,力量头带	猛攻哑铃	锐利之爪,2,66.67%,2
,,力量头带	弱点保险	猛攻哑铃,1,50.0%,2
,,弱点保险	猛攻哑铃	锐利之爪,10,71.43%,1
,,咒术手镯	猛攻哑铃	锐利之爪,3,100.0%,1
,,学习装置	弱点保险	气势头带,1,100.0%,1
,,气势头带	猛攻哑铃	锐利之爪,0,0.0%,1
,,力量头带	气势头带	猛攻哑铃,0,0.0%,1
,,共鸣护盾	气势头带	猛攻哑铃,0,0.0%,1
,,亿奥斯饼干	治愈王冠	猛攻哑铃,0,0.0%,1
,,气势头带	猛攻哑铃	突击背心,0,0.0%,1
52,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,0.48%,35,70.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Sun*Flower,4,57.14%
,,GE・Sadao,2,100.0%
,,Todorôki,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		高速移动	逃脱按键,9,90.0%,9
,,日光束	光墙		逃脱按键,9,60.0%,12
,,电球		高速移动	逃脱按键,6,85.71%,7
,,电球		指导		逃脱按键,4,66.67%,6
,,冲浪		光墙		逃脱按键,2,100.0%,2
,,冲浪		指导		逃脱按键,2,66.67%,3
,,冲浪		光墙		速度强化,1,100.0%,1
,,日光束	光墙		速度强化,1,100.0%,1
,,电球		光墙		逃脱按键,1,20.0%,4
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,20,68.97%,13
,,博识眼镜	讲究眼镜	进击眼镜,5,100.0%,5
,,学习装置	穿透汤匙	讲究眼镜,2,66.67%,3
,,博识眼镜	讲究眼镜	贝壳之铃,2,66.67%,3
,,博识眼镜	学习装置	讲究眼镜,2,50.0%,3
,,博识眼镜	学习装置	穿透汤匙,1,50.0%,2
,,咒术熏香	学习装置	穿透汤匙,1,50.0%,2
,,博识眼镜	咒术熏香	学习装置,1,100.0%,1
,,学习装置	穿透汤匙	进击眼镜,1,100.0%,1
52,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,37,0.48%,36,72.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TheMoneY$,3,75.0%
,,SBY_坂間,2,100.0%
,,RIG_あるみに,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	飞踢		万灵药,30,78.95%,27
,,啄钻		飞踢		万灵药,6,66.67%,8
,,三重攻击	高速移动	万灵药,0,0.0%,2
,,啄钻		飞踢		得分加速装置,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	锐利之爪,29,76.32%,27
,,充能坠饰	猛攻哑铃	轻石,3,60.0%,4
,,猛攻哑铃	轻石	锐利之爪,1,50.0%,2
,,亿奥斯饼干	得分护盾	轻石,2,100.0%,1
,,猛攻哑铃	能量增幅器	锐利之爪,1,100.0%,1
,,学习装置	猛攻哑铃	轻石,0,0.0%,1
,,充能坠饰	气势头带	锐利之爪,0,0.0%,1
54,凤王,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,0.44%,31,67.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,PRX・Yang,3,100.0%
,,Phōs,2,100.0%
,,飯うま太郎,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰旋涡	喷射火焰	速度强化,13,68.42%,17
,,飞翔		喷射火焰	速度强化,10,71.43%,9
,,火焰旋涡	喷射火焰	伤药	,2,100.0%,2
,,火焰旋涡	神鸟猛击	速度强化,2,100.0%,2
,,火焰旋涡	喷射火焰	逃脱按键,1,100.0%,1
,,火焰旋涡	神鸟猛击	伤药	,1,50.0%,1
,,火焰旋涡	喷射火焰	万灵药,1,50.0%,1
,,飞翔		喷射火焰	伤药	,1,33.33%,2
,,火焰旋涡	神鸟猛击	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术手镯	学习装置	气势头带,13,81.25%,11
,,共鸣护盾	学习装置	气势头带,4,57.14%,7
,,咒术手镯	气势头带	猛攻哑铃,2,66.67%,3
,,亿奥斯饼干	咒术手镯	猛攻哑铃,2,100.0%,1
,,力量头带	气势头带	猛攻哑铃,2,50.0%,1
,,共鸣护盾	咒术手镯	猛攻哑铃,1,100.0%,1
,,充能坠饰	得分护盾	轻石,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,共鸣护盾	咒术手镯	学习装置,1,100.0%,1
,,亿奥斯饼干	充能坠饰	学习装置,1,100.0%,1
,,亿奥斯饼干	学习装置	气势头带,1,50.0%,1
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,1,50.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,1,50.0%,1
,,共鸣护盾	吃剩的东西	学习装置,0,0.0%,1
,,共鸣护盾	学习装置	轻石,0,0.0%,1
,,学习装置	气势头带	猛攻哑铃,0,0.0%,1
55,玛力露丽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,20,0.43%,31,68.89%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CLANDESTINE.,4,80.0%
,,Kobeツ,3,75.0%
,,Piàchu,3,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	水流尾	速度强化,15,83.33%,10
,,嬉闹		潮旋		攻击强化,8,66.67%,4
,,嬉闹		潮旋		伤药	,4,80.0%,2
,,嬉闹		水流尾	速度强化,2,100.0%,2
,,水之波动	水流尾	攻击强化,1,100.0%,1
,,嬉闹		潮旋		速度强化,1,16.67%,3
,,水之波动	潮旋		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	焦点镜	猛攻哑铃,11,68.75%,8
,,力量头带	焦点镜	猛攻哑铃,6,60.0%,3
,,焦点镜	猛攻哑铃	能量增幅器,4,80.0%,2
,,力量头带	弱点保险	猛攻哑铃,4,80.0%,1
,,弱点保险	气势头带	焦点镜,2,100.0%,1
,,焦点镜	猛攻哑铃	轻石,2,66.67%,1
,,咒术手镯	焦点镜	猛攻哑铃,1,100.0%,1
,,学习装置	弱点保险	气势头带,1,100.0%,1
,,弱点保险	气势头带	能量增幅器,0,0.0%,1
,,气势头带	焦点镜	猛攻哑铃,0,0.0%,1
56,超梦X,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,13,0.38%,26,65.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ulsan_장인,16,66.67%
,,ʚあゆぴてゃɞ,2,100.0%
,,ParuParuParu,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,预知未来	自我再生	伤药	,19,70.37%,4
,,精神击破	自我再生	伤药	,4,50.0%,5
,,精神击破	瞬间移动	攻击强化,1,100.0%,1
,,精神击破	自我再生	逃脱按键,1,100.0%,1
,,精神击破	自我再生	攻击强化,1,100.0%,1
,,预知未来	瞬间移动	万灵药,0,0.0%,1
,,精神击破	瞬间移动	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,2,50.0%,4
,,力量头带	猛攻哑铃	锐利之爪,16,66.67%,1
,,力量头带	学习装置	气势头带,2,100.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,2,100.0%,1
,,力量头带	弱点保险	猛攻哑铃,1,100.0%,1
,,充能坠饰	学习装置	轻石,1,100.0%,1
,,治愈王冠	猛攻哑铃	连打围巾,1,100.0%,1
,,咒术手镯	学习装置	气势头带,1,33.33%,1
,,力量头带	弱点保险	气势头带,0,0.0%,1
,,焦点镜	猛攻哑铃	连打围巾,0,0.0%,1
57,多龙巴鲁托,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,21,0.34%,25,69.44%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ChütPaglu-,3,75.0%
,,Shibukı,3,42.86%
,,PPRN,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙息		龙之舞	攻击强化,10,66.67%,8
,,暗影球	潜灵奇袭	攻击强化,6,85.71%,6
,,龙息		龙之舞	万灵药,2,100.0%,2
,,暗影球	龙之舞	攻击强化,2,100.0%,2
,,龙息		潜灵奇袭	攻击强化,2,50.0%,3
,,龙息		龙之舞	速度强化,1,100.0%,1
,,暗影球	潜灵奇袭	逃脱按键,1,100.0%,1
,,暗影球	潜灵奇袭	速度强化,1,100.0%,1
,,暗影球	龙之舞	万灵药,0,0.0%,1
,,龙息		龙之舞	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	连打围巾,18,64.29%,15
,,力量头带	猛攻哑铃	连打围巾,3,100.0%,2
,,力量头带	咒术手镯	连打围巾,1,100.0%,1
,,充能坠饰	力量头带	连打围巾,1,100.0%,1
,,救援屏障	能量增幅器	轻石,1,100.0%,1
,,力量头带	咒术手镯	猛攻哑铃,1,50.0%,1
58,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,24,0.32%,26,78.79%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ʚ糖果の玖玖ɞ,4,100.0%
,,Ulsan_장인,2,100.0%
,,Shibukı,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		屏障		速度强化,15,71.43%,15
,,念力		屏障		逃脱按键,7,87.5%,6
,,精神强念	力量互换	速度强化,2,100.0%,2
,,念力		力量互换	速度强化,2,100.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	讲究眼镜	进击眼镜,5,71.43%,4
,,学习装置	救援屏障	气势头带,6,100.0%,3
,,学习装置	气势头带	进击眼镜,3,100.0%,3
,,博识眼镜	讲究眼镜	进击眼镜,3,60.0%,3
,,学习装置	讲究眼镜	进击眼镜,2,100.0%,2
,,学习装置	救援屏障	进击眼镜,2,100.0%,1
,,博识眼镜	穿透汤匙	进击眼镜,1,100.0%,1
,,救援屏障	讲究眼镜	进击眼镜,1,100.0%,1
,,气势头带	讲究眼镜	进击眼镜,1,100.0%,1
,,学习装置	气势头带	穿透汤匙,1,100.0%,1
,,学习装置	穿透汤匙	讲究眼镜,1,100.0%,1
,,穿透汤匙	能量增幅器	进击眼镜,0,0.0%,1
,,学习装置	气势头带	能量增幅器,0,0.0%,1
,,学习装置	能量增幅器	进击眼镜,0,0.0%,1
58,红莲铠骑,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,26,0.32%,21,63.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TZ・Melha,2,100.0%
,,FlexMySkiIIs,2,100.0%
,,PRX・Yang,2,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰旋涡	精神冲击	速度强化,7,100.0%,5
,,火焰旋涡	精神冲击	万灵药,5,50.0%,7
,,火焰旋涡	精神冲击	逃脱按键,2,100.0%,2
,,铠农炮	精神冲击	速度强化,2,50.0%,3
,,铠农炮	精神冲击	逃脱按键,2,40.0%,5
,,火焰旋涡	蓄能焰袭	万灵药,1,100.0%,1
,,火焰旋涡	蓄能焰袭	速度强化,1,100.0%,1
,,火焰旋涡	精神冲击	伤药	,1,50.0%,2
,,铠农炮	蓄能焰袭	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	气势头带	穿透汤匙,11,78.57%,10
,,博识眼镜	穿透汤匙	讲究眼镜,3,33.33%,8
,,博识眼镜	穿透汤匙	进击眼镜,1,50.0%,2
,,亿奥斯饼干	咒术熏香	穿透汤匙,2,66.67%,1
,,亿奥斯饼干	穿透汤匙	进击眼镜,1,100.0%,1
,,凸凸头盔	咒术熏香	气势头带,1,100.0%,1
,,共鸣护盾	气势头带	穿透汤匙,1,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,1,100.0%,1
,,力量头带	咒术熏香	气势头带,0,0.0%,1
60,喷火龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,0.3%,27,87.1%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,iRinItoshi,9,81.82%
,,PookieㅤBawu,3,100.0%
,,Valecya,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷射火焰	大字爆炎	万灵药,11,91.67%,3
,,喷射火焰	大字爆炎	速度强化,4,80.0%,4
,,喷射火焰	大字爆炎	伤药	,2,100.0%,1
,,喷射火焰	大字爆炎	逃脱按键,2,100.0%,1
,,喷射火焰	闪焰冲锋	万灵药,2,66.67%,3
,,喷射火焰	闪焰冲锋	伤药	,1,100.0%,1
,,火焰拳	闪焰冲锋	攻击强化,1,100.0%,1
,,火焰拳	闪焰冲锋	速度强化,1,100.0%,1
,,喷射火焰	闪焰冲锋	逃脱按键,1,100.0%,1
,,喷射火焰	闪焰冲锋	速度强化,1,100.0%,1
,,喷射火焰	大字爆炎	攻击强化,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术手镯	焦点镜	猛攻哑铃,14,82.35%,7
,,弱点保险	焦点镜	猛攻哑铃,5,100.0%,4
,,气势头带	焦点镜	猛攻哑铃,3,100.0%,1
,,力量头带	焦点镜	猛攻哑铃,2,100.0%,1
,,焦点镜	猛攻哑铃	能量增幅器,1,100.0%,1
,,充能坠饰	焦点镜	猛攻哑铃,1,100.0%,1
,,咒术手镯	猛攻哑铃	能量增幅器,1,50.0%,1
60,暴鲤龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,15,0.3%,26,83.87%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TZ・Melha,7,100.0%
,,PookieㅤBawu,4,80.0%
,,BC_жTakubinж,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙息		弹跳		逃脱按键,24,82.76%,13
,,龙息		攀瀑		逃脱按键,1,100.0%,1
,,龙息		弹跳		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,5,83.33%,5
,,力量头带	弱点保险	猛攻哑铃,6,85.71%,3
,,弱点保险	猛攻哑铃	锐利之爪,11,91.67%,2
,,力量头带	气势头带	猛攻哑铃,1,50.0%,2
,,力量头带	猛攻哑铃	能量增幅器,2,100.0%,1
,,充能坠饰	猛攻哑铃	能量增幅器,1,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,0,0.0%,1
62,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,0.28%,19,65.52%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Kamenero!,3,100.0%
,,SLightlYy藻,2,66.67%
,,OnlyFriends.,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		暴风		逃脱按键,8,57.14%,10
,,潜水		暴风		逃脱按键,6,75.0%,6
,,潜水		空气之刃	逃脱按键,5,71.43%,7
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	讲究眼镜	进击眼镜,5,71.43%,5
,,咒术熏香	穿透汤匙	能量增幅器,4,80.0%,4
,,咒术熏香	穿透汤匙	讲究眼镜,2,50.0%,2
,,穿透汤匙	能量增幅器	讲究眼镜,1,50.0%,2
,,博识眼镜	穿透汤匙	讲究眼镜,0,0.0%,2
,,博识眼镜	能量增幅器	讲究眼镜,1,100.0%,1
,,博识眼镜	穿透汤匙	能量增幅器,1,100.0%,1
,,穿透汤匙	能量增幅器	进击眼镜,1,100.0%,1
,,能量增幅器	讲究眼镜	进击眼镜,1,100.0%,1
,,咒术熏香	能量增幅器	讲究眼镜,1,100.0%,1
,,博识眼镜	气势头带	穿透汤匙,1,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,1,50.0%,1
63,妙蛙花,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,18,0.25%,19,73.08%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ENOCSeVra¿,6,85.71%
,,펭큐보_,2,100.0%
,,KaKauSHOW,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终极吸取	花瓣舞	万灵药,8,80.0%,3
,,污泥炸弹	日光束	逃脱按键,8,72.73%,11
,,污泥炸弹	日光束	速度强化,1,100.0%,1
,,污泥炸弹	花瓣舞	伤药	,1,100.0%,1
,,终极吸取	日光束	逃脱按键,1,50.0%,2
,,污泥炸弹	日光束	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,3,75.0%,4
