,一共游戏场数,11327
1,可达鸭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,力量头带	咒术熏香	连打围巾,1,50.0%,1
,,博识眼镜	气势头带	穿透汤匙,1,33.33%,1
,,博识眼镜	讲究眼镜	贝壳之铃,0,0.0%,1
,,共鸣护盾	穿透汤匙	进击眼镜,0,0.0%,1
,,气势头带	穿透汤匙	能量增幅器,0,0.0%,1
,,咒术熏香	穿透汤匙	能量增幅器,0,0.0%,1
46,岩殿居蟹,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,42,0.8%,63,69.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,PCNK_Sëri,10,71.43%
,,BRUpoohphaza,6,85.71%
,,Redux-,5,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,岩石封锁	十字剪	逃脱按键,31,70.45%,20
,,破壳		隐形岩	向尾喵的尾巴,19,65.52%,12
,,岩石封锁	十字剪	向尾喵的尾巴,2,100.0%,1
,,破壳		十字剪	速度强化,2,100.0%,2
,,破壳		十字剪	向尾喵的尾巴,1,100.0%,1
,,岩石封锁	隐形岩	向尾喵的尾巴,1,100.0%,1
,,岩石封锁	隐形岩	迟缓烟雾,1,100.0%,1
,,破壳		十字剪	得分加速装置,1,100.0%,1
,,岩石封锁	隐形岩	伤药	,1,100.0%,1
,,岩石封锁	十字剪	迟缓烟雾,1,100.0%,1
,,岩石封锁	十字剪	速度强化,1,50.0%,2
,,岩石封锁	隐形岩	逃脱按键,1,50.0%,1
,,破壳		十字剪	逃脱按键,1,33.33%,2
,,破壳		十字剪	迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,21,77.78%,11
,,学习装置	气势头带	轻石,12,75.0%,5
,,力量头带	能量增幅器	轻石,2,40.0%,3
,,学习装置	气势头带	猛攻哑铃,4,100.0%,2
,,学习装置	气势头带	突击背心,1,50.0%,2
,,焦点镜	猛攻哑铃	锐利之爪,0,0.0%,2
,,共鸣护盾	学习装置	救援屏障,0,0.0%,2
,,力量头带	学习装置	气势头带,10,71.43%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,2,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,气势头带	能量增幅器	轻石,1,100.0%,1
,,力量头带	猛攻哑铃	能量增幅器,1,100.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,100.0%,1
,,充能坠饰	救援屏障	气势头带,1,100.0%,1
,,共鸣护盾	弱点保险	气势头带,1,100.0%,1
,,气势头带	焦点镜	猛攻哑铃,1,100.0%,1
,,学习装置	气势头带	锐利之爪,1,100.0%,1
,,力量头带	猛攻哑铃	轻石,1,50.0%,1
,,共鸣护盾	学习装置	弱点保险,1,50.0%,1
,,力量头带	气势头带	能量增幅器,1,50.0%,1
,,猛攻哑铃	能量增幅器	轻石,0,0.0%,1
,,猛攻哑铃	轻石	锐利之爪,0,0.0%,1
48,皮卡丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,31,0.7%,52,65.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,8ちっぴ8,7,63.64%
,,Natsuuメ,7,53.85%
,,Fly1ngDutch,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电球		伏特攻击	逃脱按键,27,67.5%,18
,,打雷		十万伏特	逃脱按键,8,100.0%,6
,,电球		伏特攻击	速度强化,8,44.44%,5
,,打雷		伏特攻击	逃脱按键,7,87.5%,5
,,电球		伏特攻击	脱壳忍者玩偶,1,100.0%,1
,,打雷		十万伏特	速度强化,1,33.33%,2
,,打雷		伏特攻击	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,21,63.64%,14
,,博识眼镜	穿透汤匙	能量增幅器,5,100.0%,2
,,穿透汤匙	能量增幅器	贝壳之铃,2,100.0%,2
,,救援屏障	能量增幅器	讲究眼镜,7,53.85%,1
,,学习装置	能量增幅器	讲究眼镜,4,100.0%,1
,,博识眼镜	能量增幅器	贝壳之铃,3,60.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,2,100.0%,1
,,咒术熏香	穿透汤匙	能量增幅器,2,100.0%,1
,,咒术熏香	学习装置	穿透汤匙,1,100.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,1,100.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,1,100.0%,1
,,学习装置	穿透汤匙	讲究眼镜,1,100.0%,1
,,学习装置	穿透汤匙	能量增幅器,1,50.0%,1
,,能量增幅器	讲究眼镜	贝壳之铃,1,25.0%,1
,,咒术熏香	能量增幅器	讲究眼镜,0,0.0%,1
,,博识眼镜	咒术熏香	贝壳之铃,0,0.0%,1
49,拉普拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,25,0.68%,51,66.23%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,何不!?,8,88.89%
,,Perfesto,8,66.67%
,,パロエモン,7,53.85%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,终焉之歌	冰冻光束	速度强化,21,75.0%,8
,,水之波动	冰冻光束	速度强化,13,56.52%,8
,,水之波动	泡沫光线	速度强化,10,71.43%,6
,,终焉之歌	泡沫光线	速度强化,4,50.0%,4
,,水之波动	泡沫光线	伤药	,1,100.0%,1
,,终焉之歌	冰冻光束	伤药	,1,100.0%,1
,,终焉之歌	泡沫光线	伤药	,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	穿透汤匙	进击眼镜,6,60.0%,7
,,学习装置	气势头带	穿透汤匙,16,61.54%,5
,,共鸣护盾	穿透汤匙	进击眼镜,12,66.67%,3
,,咒术熏香	气势头带	穿透汤匙,2,33.33%,2
,,亿奥斯饼干	气势头带	进击眼镜,6,75.0%,1
,,救援屏障	气势头带	穿透汤匙,2,100.0%,1
,,亿奥斯饼干	穿透汤匙	进击眼镜,2,100.0%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,博识眼镜	穿透汤匙	进击眼镜,1,100.0%,1
,,咒术熏香	学习装置	气势头带,1,100.0%,1
,,学习装置	气势头带	进击眼镜,1,100.0%,1
,,亿奥斯饼干	气势头带	穿透汤匙,1,100.0%,1
50,巨金怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,30,0.67%,56,73.68%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,1v1・Antique,8,72.73%
,,F>Shinji,7,77.78%
,,JXV-YT,5,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,陀螺球	电磁飘浮	速度强化,22,70.97%,16
,,彗星拳	电磁飘浮	速度强化,10,76.92%,3
,,彗星拳	意念头锤	速度强化,10,66.67%,7
,,陀螺球	电磁飘浮	逃脱按键,3,100.0%,2
,,彗星拳	电磁飘浮	逃脱按键,3,75.0%,1
,,陀螺球	电磁飘浮	万灵药,2,100.0%,2
,,陀螺球	意念头锤	逃脱按键,2,50.0%,3
,,彗星拳	意念头锤	万灵药,1,100.0%,1
,,陀螺球	意念头锤	万灵药,1,100.0%,1
,,彗星拳	意念头锤	伤药	,1,100.0%,1
,,彗星拳	意念头锤	逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,26,68.42%,12
,,弱点保险	猛攻哑铃	锐利之爪,11,84.62%,7
,,力量头带	猛攻哑铃	锐利之爪,10,83.33%,5
,,力量头带	弱点保险	猛攻哑铃,2,100.0%,2
,,力量头带	焦点镜	猛攻哑铃,5,71.43%,1
,,凸凸头盔	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	弱点保险	锐利之爪,1,50.0%,1
,,力量头带	弱点保险	气势头带,0,0.0%,1
51,爆肌蚊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,34,0.65%,55,74.32%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HailRoarixZ,7,100.0%
,,LFD・Nite,6,85.71%
,,shinjidainoo,5,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,击落		蛮力		逃脱按键,44,72.13%,30
,,猛扑		蛮力		逃脱按键,6,100.0%,2
,,击落		蛮力		速度强化,3,75.0%,3
,,击落		汲取		逃脱按键,2,66.67%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	猛攻哑铃,19,76.0%,12
,,弱点保险	气势头带	猛攻哑铃,24,82.76%,11
,,力量头带	猛攻哑铃	连打围巾,4,66.67%,3
,,力量头带	猛攻哑铃	轻石,2,66.67%,2
,,力量头带	弱点保险	猛攻哑铃,2,66.67%,2
,,共鸣护盾	学习装置	气势头带,2,66.67%,1
,,共鸣护盾	猛攻哑铃	连打围巾,1,100.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,1,33.33%,1
,,力量头带	学习装置	弱点保险,0,0.0%,1
52,魔幻假面喵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,13,0.63%,50,70.42%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Blazeㅤ!!ㅤ,34,75.56%
,,Soloing,3,100.0%
,,Ӽaţaga勇,3,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	起草		逃脱按键,38,73.08%,4
,,千变万花	影子分身	逃脱按键,6,54.55%,6
,,千变万花	影子分身	攻击强化,3,100.0%,1
,,千变万花	影子分身	脱壳忍者玩偶,3,75.0%,1
,,暗袭要害	起草		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,6,60.0%,5
,,焦点镜	猛攻哑铃	锐利之爪,4,57.14%,3
,,充能坠饰	猛攻哑铃	锐利之爪,3,75.0%,2
,,力量头带	焦点镜	锐利之爪,34,75.56%,1
,,弱点保险	猛攻哑铃	能量增幅器,3,75.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,0,0.0%,1
53,象牙猪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,33,0.53%,38,63.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BRUpoohphaza,5,83.33%
,,GLxJoy_>.<,5,62.5%
,,Rising卍最強,4,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰冻牙	地震		逃脱按键,33,68.75%,25
,,冰冻牙	十万马力	逃脱按键,2,66.67%,3
,,冰柱坠击	地震		逃脱按键,1,50.0%,2
,,冰柱坠击	十万马力	逃脱按键,1,50.0%,2
,,冰冻牙	十万马力	速度强化,1,50.0%,2
,,冰柱坠击	十万马力	速度强化,0,0.0%,1
,,冰冻牙	地震		速度强化,0,0.0%,1
,,冰柱坠击	十万马力	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,18,64.29%,14
,,学习装置	气势头带	轻石,8,80.0%,4
,,学习装置	救援屏障	气势头带,2,33.33%,4
,,学习装置	气势头带	猛攻哑铃,2,100.0%,2
,,吃剩的东西	学习装置	救援屏障,2,66.67%,1
,,亿奥斯饼干	学习装置	气势头带,1,100.0%,1
,,学习装置	得分护盾	气势头带,1,100.0%,1
,,力量头带	学习装置	气势头带,1,100.0%,1
,,共鸣护盾	气势头带	猛攻哑铃,1,50.0%,1
,,力量头带	气势头带	连打围巾,1,50.0%,1
,,共鸣护盾	气势头带	锐利之爪,1,50.0%,1
,,亿奥斯饼干	学习装置	猛攻哑铃,0,0.0%,1
,,共鸣护盾	学习装置	连打围巾,0,0.0%,1
53,凤王,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,0.53%,45,75.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RGE・Poem,19,79.17%
,,hawkra,6,75.0%
,,みねすとろり,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰旋涡	神鸟猛击	万灵药,18,78.26%,1
,,飞翔		喷射火焰	速度强化,8,61.54%,6
,,火焰旋涡	神鸟猛击	速度强化,6,85.71%,5
,,火焰旋涡	神鸟猛击	逃脱按键,4,100.0%,1
,,火焰旋涡	喷射火焰	速度强化,4,57.14%,6
,,火焰旋涡	喷射火焰	伤药	,3,100.0%,2
,,飞翔		神鸟猛击	万灵药,1,100.0%,1
,,火焰旋涡	神鸟猛击	迟缓烟雾,1,100.0%,1
,,火焰旋涡	神鸟猛击	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	学习装置	气势头带,25,80.65%,5
,,共鸣护盾	学习装置	气势头带,5,83.33%,3
,,咒术手镯	气势头带	猛攻哑铃,1,25.0%,3
,,咒术手镯	学习装置	气势头带,1,50.0%,2
,,咒术手镯	弱点保险	猛攻哑铃,6,75.0%,1
,,弱点保险	气势头带	猛攻哑铃,2,100.0%,1
,,共鸣护盾	咒术手镯	学习装置,1,100.0%,1
,,亿奥斯饼干	咒术手镯	猛攻哑铃,1,100.0%,1
,,共鸣护盾	气势头带	猛攻哑铃,1,100.0%,1
,,咒术手镯	学习装置	轻石,1,100.0%,1
,,力量头带	咒术手镯	猛攻哑铃,1,100.0%,1
,,力量头带	气势头带	猛攻哑铃,0,0.0%,1
,,咒术手镯	学习装置	弱点保险,0,0.0%,1
55,班基拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,10,0.51%,47,81.03%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AXIZ_Yupono,34,89.47%
,,shinjidainoo,5,71.43%
,,アイスル大山,4,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,尖石攻击	流沙深渊	逃脱按键,40,86.96%,4
,,恶之波动	流沙深渊	向尾喵的尾巴,4,66.67%,1
,,尖石攻击	流沙深渊	万灵药,2,100.0%,2
,,恶之波动	流沙深渊	万灵药,1,100.0%,1
,,尖石攻击	流沙深渊	速度强化,0,0.0%,1
,,恶之波动	流沙深渊	逃脱按键,0,0.0%,1
,,恶之波动	原始之力	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	气势头带,34,87.18%,2
,,凸凸头盔	气势头带	锐利之爪,5,71.43%,1
,,力量头带	弱点保险	锐利之爪,4,66.67%,1
,,力量头带	弱点保险	连打围巾,1,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
,,力量头带	气势头带	锐利之爪,1,100.0%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,共鸣护盾	气势头带	猛攻哑铃,0,0.0%,1
,,力量头带	气势头带	猛攻哑铃,0,0.0%,1
56,胖可丁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,18,0.36%,35,85.37%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,GO*Big_Eazie,14,100.0%
,,iBeTootin,5,71.43%
,,GaticoPe,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,连环巴掌	唱歌		脱壳忍者玩偶,14,100.0%,1
,,连环巴掌	唱歌		速度强化,9,81.82%,5
,,魔法闪耀	唱歌		速度强化,5,71.43%,4
,,魔法闪耀	唱歌		逃脱按键,2,100.0%,2
,,连环巴掌	唱歌		伤药	,2,100.0%,1
,,连环巴掌	滚动		向尾喵的尾巴,1,100.0%,1
,,连环巴掌	唱歌		迟缓烟雾,1,100.0%,1
,,魔法闪耀	唱歌		迟缓烟雾,1,50.0%,2
,,魔法闪耀	滚动		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	学习装置	气势头带,19,100.0%,6
,,学习装置	救援屏障	气势头带,11,73.33%,5
,,亿奥斯饼干	气势头带	进击眼镜,1,100.0%,1
,,力量头带	气势头带	连打围巾,1,100.0%,1
,,共鸣护盾	学习装置	穿透汤匙,1,100.0%,1
,,吃剩的东西	学习装置	气势头带,1,100.0%,1
,,得分护盾	救援屏障	气势头带,1,100.0%,1
,,亿奥斯饼干	学习装置	贝壳之铃,0,0.0%,1
,,穿透汤匙	贝壳之铃	进击眼镜,0,0.0%,1
57,水箭龟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,0.33%,21,56.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,[SAMU_KIRA],4,57.14%
,,SG_Chan_Me,2,100.0%
,,Rising_Tomy,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水炮		冲浪		逃脱按键,12,48.0%,16
,,水炮		高速旋转	逃脱按键,5,71.43%,6
,,喷水		高速旋转	逃脱按键,3,100.0%,3
,,喷水		高速旋转	速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	连打围巾,5,71.43%,6
,,学习装置	气势头带	穿透汤匙,6,54.55%,4
,,学习装置	救援屏障	气势头带,3,100.0%,2
,,力量头带	学习装置	气势头带,2,100.0%,2
,,气势头带	穿透汤匙	进击眼镜,1,50.0%,2
,,共鸣护盾	学习装置	救援屏障,0,0.0%,2
,,咒术熏香	气势头带	贝壳之铃,1,100.0%,1
,,共鸣护盾	穿透汤匙	进击眼镜,1,100.0%,1
,,博识眼镜	气势头带	穿透汤匙,1,100.0%,1
,,共鸣护盾	气势头带	穿透汤匙,1,100.0%,1
,,亿奥斯饼干	学习装置	气势头带,0,0.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,0,0.0%,1
,,亿奥斯饼干	气势头带	穿透汤匙,0,0.0%,1
,,共鸣护盾	学习装置	穿透汤匙,0,0.0%,1
,,共鸣护盾	学习装置	气势头带,0,0.0%,1
58,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,19,0.32%,30,83.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HailRoarixZ,7,100.0%
,,ʚMinun,4,100.0%
,,blushT^T,3,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	火焰旋涡	逃脱按键,9,100.0%,4
,,魔法火焰	蓄能焰袭	逃脱按键,9,75.0%,8
,,大字爆炎	火焰旋涡	逃脱按键,9,75.0%,8
,,大字爆炎	火焰旋涡	速度强化,3,100.0%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	穿透汤匙	能量增幅器,10,76.92%,6
,,穿透汤匙	能量增幅器	贝壳之铃,7,100.0%,5
,,穿透汤匙	能量增幅器	讲究眼镜,9,100.0%,3
,,博识眼镜	咒术熏香	讲究眼镜,1,100.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,1,100.0%,1
,,咒术熏香	能量增幅器	贝壳之铃,1,50.0%,1
,,博识眼镜	穿透汤匙	能量增幅器,1,50.0%,1
,,博识眼镜	能量增幅器	讲究眼镜,0,0.0%,1
59,水晶灯火灵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,0.27%,22,70.97%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AE_Kt,4,100.0%
,,Plãyer.,4,100.0%
,,Ӽaţaga勇,4,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷射火焰	封印		逃脱按键,8,88.89%,6
,,过热		封印		逃脱按键,7,58.33%,10
,,过热		封印		速度强化,4,80.0%,2
,,过热		灵骚		速度强化,1,100.0%,1
,,过热		灵骚		逃脱按键,1,50.0%,2
,,喷射火焰	灵骚		逃脱按键,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,咒术熏香	穿透汤匙	讲究眼镜,12,70.59%,11
,,博识眼镜	穿透汤匙	讲究眼镜,3,50.0%,6
,,博识眼镜	咒术熏香	穿透汤匙,2,66.67%,3
,,博识眼镜	咒术熏香	讲究眼镜,5,100.0%,2
60,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,17,0.26%,23,79.31%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,nijika愛,4,100.0%
,,ĮÇĘ-ŤŘĄŶ,4,100.0%
,,HailRoarixZ,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,9,75.0%,9
,,圣剑		广域防守	攻击强化,4,100.0%,1
,,圣剑		广域防守	万灵药,2,100.0%,2
,,暗影爪	广域防守	速度强化,2,66.67%,1
,,暗影爪	广域防守	逃脱按键,2,50.0%,1
,,暗影爪	广域防守	万灵药,1,100.0%,1
,,暗影爪	铁头		伤药	,1,100.0%,1
,,圣剑		广域防守	逃脱按键,1,100.0%,1
,,暗影爪	广域防守	伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	锐利之爪,8,88.89%,6
,,弱点保险	猛攻哑铃	锐利之爪,8,72.73%,4
,,亿奥斯饼干	弱点保险	猛攻哑铃,2,100.0%,2
,,力量头带	弱点保险	气势头带,2,66.67%,1
,,弱点保险	气势头带	锐利之爪,1,100.0%,1
,,力量头带	气势头带	锐利之爪,1,100.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,1,100.0%,1
,,充能坠饰	弱点保险	锐利之爪,0,0.0%,1
61,黏美龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,16,0.24%,16,59.26%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,HS·Black,4,66.67%
,,SwaggyCup,2,100.0%
,,FakeGoLDeN,1,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,浊流		强力鞭打	速度强化,5,55.56%,7
,,龙之波动	强力鞭打	速度强化,5,55.56%,8
,,浊流		酸液炸弹	速度强化,3,75.0%,1
,,龙之波动	酸液炸弹	伤药	,2,50.0%,3
,,龙之波动	强力鞭打	伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,共鸣护盾	力量头带	气势头带,1,33.33%,2
,,共鸣护盾	学习装置	连打围巾,4,66.67%,1
,,共鸣护盾	学习装置	穿透汤匙,2,100.0%,1
,,学习装置	气势头带	连打围巾,1,100.0%,1
,,亿奥斯饼干	凸凸头盔	穿透汤匙,1,100.0%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,力量头带	学习装置	气势头带,1,100.0%,1
,,亿奥斯饼干	气势头带	进击眼镜,1,100.0%,1
,,亿奥斯饼干	贝壳之铃	进击眼镜,1,100.0%,1
,,力量头带	气势头带	连打围巾,1,50.0%,1
,,亿奥斯饼干	气势头带	突击背心,1,50.0%,1
,,学习装置	气势头带	穿透汤匙,1,33.33%,1
,,亿奥斯饼干	力量头带	气势头带,0,0.0%,1
,,亿奥斯饼干	学习装置	气势头带,0,0.0%,1
,,力量头带	气势头带	穿透汤匙,0,0.0%,1
62,仙子伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,17,0.23%,15,57.69%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,xcinderella,4,66.67%
,,Todorôki,2,100.0%
,,_SEN.TenZ乡,2,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	吸取之吻	速度强化,4,50.0%,8
,,魔法火焰	吸取之吻	伤药	,4,50.0%,2
,,巨声		冥想		速度强化,3,75.0%,3
,,魔法火焰	吸取之吻	逃脱按键,2,66.67%,2
,,巨声		冥想		逃脱按键,1,100.0%,1
,,巨声		冥想		伤药	,1,100.0%,1
,,魔法火焰	吸取之吻	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	咒术熏香	进击眼镜,3,100.0%,2
,,博识眼镜	穿透汤匙	贝壳之铃,4,66.67%,1
,,共鸣护盾	气势头带	穿透汤匙,2,100.0%,1
,,博识眼镜	气势头带	讲究眼镜,1,100.0%,1
,,亿奥斯饼干	共鸣护盾	穿透汤匙,1,100.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,1,100.0%,1
,,咒术熏香	学习装置	穿透汤匙,1,100.0%,1
,,咒术熏香	穿透汤匙	突击背心,1,100.0%,1
,,咒术熏香	气势头带	进击眼镜,1,50.0%,1
,,博识眼镜	穿透汤匙	讲究眼镜,0,0.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,0,0.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,0,0.0%,1
,,穿透汤匙	能量增幅器	讲究眼镜,0,0.0%,1
,,共鸣护盾	穿透汤匙	贝壳之铃,0,0.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,0,0.0%,1
,,力量头带	救援屏障	气势头带,0,0.0%,1
63,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,18,0.22%,17,68.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,NRL・Nephilá,2,100.0%
,,ÈveningStar,2,100.0%
,,でびえん.,2,50.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	万灵药,9,75.0%,7
,,龙之舞	破坏光线	逃脱按键,3,42.86%,5
,,龙之舞	破坏光线	攻击强化,1,100.0%,1
,,龙之舞	逆鳞		逃脱按键,1,100.0%,1
,,神速		逆鳞		速度强化,1,100.0%,1
,,神速		逆鳞		万灵药,1,100.0%,1
,,龙之舞	逆鳞		万灵药,1,100.0%,1
,,神速		逆鳞		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	锐利之爪,6,66.67%,7
,,力量头带	气势头带	锐利之爪,4,66.67%,2
,,力量头带	焦点镜	连打围巾,3,100.0%,2
,,力量头带	连打围巾	锐利之爪,1,50.0%,2
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	气势头带	焦点镜,1,100.0%,1
